lon,lat
21.23095,52.20023
18.26500,54.82530
11.90577,53.45968
6.98000,51.43000
20.97313,51.98058
22.44973,53.69163
8.74982,50.34993
8.03638,52.33255
9.41792,49.20687
2.27428,48.69602
9.26750,49.13233
18.57848,53.00677
9.13362,53.22987
20.93987,52.64355
18.54285,54.58083
21.07950,52.25180
13.35152,47.77233
8.50103,52.01547
9.12535,48.75747
8.93647,54.56172
19.12097,52.59203
9.68618,48.71045
9.33037,55.10873
8.57843,49.31718
20.99472,52.36778
19.89532,51.25105
13.34057,52.63642
13.34662,52.64337
8.76637,48.81585
7.85897,49.93377
7.21763,50.55637
8.24850,49.91852
8.37600,49.00912
2.69750,48.84340
10.19755,54.27943
10.19755,54.27943
11.28140,49.40623
2.28638,48.86068
9.10408,53.43667
8.75577,51.69817
16.56862,49.23402
20.95037,52.23085
20.30865,52.39572
-16.96468,32.70985
18.70365,51.85808
12.52483,50.80577
21.00447,52.24295
12.38490,43.11960
21.00970,52.25018
-80.12202,40.45318
9.68142,49.09992
10.70207,54.10087
7.03167,51.47833
21.59447,54.14715
7.11307,51.49483
11.61230,51.70455
21.32472,52.05653
16.83385,50.83315
7.05635,51.47390
-1.42068,50.93982
8.00587,49.93560
10.06618,48.68482
12.60133,50.76228
9.56782,49.18557
23.28310,53.51702
0.00000,0.00000
0.00000,51.18337
0.00000,51.93277
-112.12828,35.97522
12.92827,52.25885
12.92827,52.25885
6.58325,51.38803
9.50452,51.36337
9.84500,54.49283
14.04122,52.36452
20.21102,53.51695
16.97555,51.08570
8.05907,49.98520
21.03023,52.09133
22.69457,49.17953
11.35607,49.63515
0.00000,52.13633
10.16905,53.68983
24.97770,60.16900
11.96440,47.80240
19.38147,51.76778
20.78562,52.33205
9.41513,51.32138
18.85107,52.80353
11.72282,48.08762
11.49830,49.28400
0.00000,51.50000
0.00000,52.20388
9.82682,52.41940
9.25032,53.45708
11.55117,50.93083
8.38488,49.63538
8.76667,52.08333
-74.31962,40.26102
9.25713,48.41908
8.96625,51.55578
16.29412,50.83762
19.56237,52.26200
10.71272,53.83897
116.21070,39.91220
116.21070,39.91220
116.06098,40.28758
9.74980,51.31510
22.93425,52.37230
8.12363,53.51537
25.63753,59.47110
9.18712,48.68960
11.20695,49.35575
30.54277,63.36677
29.32998,66.36813
11.44900,49.85460
18.64530,52.50370
20.98145,52.26307
31.09547,70.37240
7.85498,49.83937
14.41535,50.09427
11.00290,49.61255
17.34497,51.03762
19.18103,50.30050
9.40462,51.33352
11.41715,48.17172
14.71907,68.31658
21.08558,52.23548
8.60255,49.59598
16.99037,51.06118
21.17720,52.24663
20.97360,52.11143
20.80595,52.37500
20.73545,52.40318
4.38617,50.84147
9.53318,51.31945
8.00140,49.83637
17.35198,51.04285
9.46832,47.20712
22.47000,53.23023
9.19142,48.77392
9.08400,49.03980
22.56663,52.21777
21.76477,51.58595
9.35798,52.50125
13.41202,52.54027
21.17720,52.24663
6.86617,51.27220
8.70400,49.40742
-3.19102,55.90198
10.62547,35.84587
14.99997,50.73965
22.61892,52.21387
10.65562,52.30995
8.67872,53.83167
8.55513,51.98153
8.82795,52.25420
10.14340,54.32458
9.82027,53.44598
19.58683,53.73347
8.48802,50.51780
13.87128,55.43180
8.96167,52.92908
18.57470,53.00845
22.58117,49.11710
18.78035,51.86237
12.03848,49.01737
15.19420,44.29558
6.95708,50.94128
8.68393,50.80568
10.57837,53.83340
10.64920,53.86282
10.65307,53.83742
21.74922,54.01067
15.43730,50.75328
9.06047,51.18605
9.06047,51.18605
10.68977,53.87100
19.55197,50.45300
18.34365,49.84255
10.29235,53.69630
22.24965,52.08332
20.71910,52.30445
9.33977,51.30455
15.56333,54.17918
21.40500,50.01528
19.92400,50.06400
10.74300,54.11050
17.20942,52.80290
21.04853,52.14487
-78.86475,35.81622
21.21530,52.27618
2.12182,42.39700
19.28822,50.99482
2.11980,41.74530
21.04853,52.14488
9.75163,52.36698
16.94973,52.48337
18.66575,50.29285
13.25105,55.59123
11.08720,54.37952
17.07810,51.03823
10.87623,54.21150
13.73772,45.12902
25.67340,60.37865
19.02140,50.25192
10.57103,52.30968
18.29250,49.83583
7.05158,49.28725
12.39368,51.39268
20.89307,52.25285
20.34037,52.36515
54.32467,24.47250
9.99255,52.04653
18.83007,53.83340
13.46858,49.70342
-82.06318,26.73375
7.13823,50.53850
1.41730,43.60927
9.18833,48.80227
7.84287,33.99440
9.46160,41.20580
20.89977,52.32225
10.72860,53.93007
22.93827,40.58312
6.09945,50.84185
3.17805,39.88052
20.53032,52.09970
8.56182,48.89738
9.15790,48.57760
11.25438,48.17693
9.07198,53.29213
21.09110,52.70602
18.66603,50.26558
18.66603,50.26558
18.66603,50.26558
4.35717,50.83933
8.76597,50.81583
20.97867,52.02727
20.94957,51.97805
21.28950,52.11393
21.14370,52.14942
20.89575,52.45385
20.90032,52.25820
20.90042,52.26353
9.63652,52.03257
18.66603,50.26558
9.12338,48.63902
7.57408,51.47507
20.94960,52.20600
19.35977,50.46793
20.00927,49.21935
18.64950,50.29983
21.28473,52.16642
20.58547,52.25197
6.64148,50.96372
8.24903,50.21253
8.67150,50.58498
11.36390,48.25508
21.07437,52.51130
19.91138,50.07587
9.92058,49.78743
11.67653,48.19177
-111.77805,33.46470
6.66237,51.39778
18.85783,50.41508
19.02738,50.23008
19.93630,50.07612
14.65053,50.86887
7.79363,51.46760
18.50255,54.52663
6.98563,49.24832
10.96893,49.60750
6.71168,51.12797
13.00933,55.60458
0.00000,52.18602
92.83047,56.00685
75.41148,39.91878
20.61447,52.05340
20.99513,52.26533
14.46797,48.35672
16.94882,52.36348
13.57893,52.53458
15.96348,50.57803
22.79187,54.36322
18.91830,50.95880
13.70467,51.02280
9.40620,51.28477
7.93333,48.51667
6.98285,51.89233
21.03430,52.11940
11.44893,51.54195
7.64678,51.52467
8.52248,49.87577
-3.04717,57.05523
20.07883,49.68083
8.21798,49.35925
19.48095,53.32770
15.42575,52.58875
17.05853,52.65188
10.53708,52.02793
17.00930,52.47955
18.95272,50.28995
7.62913,50.77783
12.57357,51.32108
21.02370,52.25132
14.71392,53.31790
6.94187,50.79335
11.80185,47.40270
12.85275,51.24817
13.27008,52.52947
9.82553,52.41197
1.18707,52.70550
21.04123,52.22865
21.03195,52.24792
12.40040,54.34798
7.96855,53.71032
19.92362,50.06045
10.15527,54.45492
8.11673,49.91570
6.71517,54.60000
24.95167,60.17267
19.04522,49.81512
-3.78427,43.48575
8.02283,49.99433
18.55428,54.40828
18.55428,54.40828
18.55428,54.40828
18.66102,50.29778
11.39930,47.85560
11.02312,49.52655
10.12542,53.85148
9.32645,48.64295
14.62422,50.11557
7.51665,46.48600
10.77293,48.70633
14.26618,53.85803
6.84002,51.23622
14.37540,50.09108
21.03850,52.13095
15.09837,54.09382
15.09837,54.09382
9.33733,49.28633
18.78902,54.09727
-79.39975,43.65422
21.07437,52.51130
21.07477,52.51265
10.88138,49.28947
7.43135,51.48957
21.04052,52.22175
14.49540,50.08747
8.18167,52.26333
6.07690,45.08677
6.48927,51.40827
21.01988,52.05025
8.63298,52.02053
-80.60462,43.41318
20.93652,52.22488
-125.88652,49.11262
20.39020,53.71230
13.35147,52.50945
15.07458,50.77832
14.05790,50.15437
6.77292,51.90510
7.09897,50.71537
10.47588,52.23923
9.72750,49.13560
5.63432,52.51857
13.64283,52.41687
18.38315,54.56488
9.36980,47.56520
12.36833,55.60500
11.59515,52.10507
21.01212,52.25203
21.08062,52.25468
7.66667,47.61667
9.21610,49.19540
9.85842,48.71822
26.57322,58.24495
11.72767,48.13620
9.79698,52.09367
15.82705,49.13387
21.26570,52.10863
21.01267,52.23565
20.86978,52.36323
21.22055,52.30442
20.50537,49.47187
8.88188,50.75880
13.17340,53.43850
18.53360,50.08300
11.13030,49.47180
15.96692,52.63615
10.92927,49.56682
12.23730,48.05923
9.11975,51.79510
20.45998,50.79775
14.70230,51.25638
13.67810,52.22557
17.22500,48.84833
19.90842,50.05357
9.21618,49.25382
20.99492,52.21712
-9.43508,38.76105
-4.54553,54.15717
19.96158,53.70362
22.01837,52.85118
21.10272,52.12388
10.05500,54.35878
14.56130,53.42650
14.56130,53.42650
9.28255,49.17808
9.34943,49.14803
21.69007,49.76973
9.25258,49.30222
9.25258,49.30222
10.32497,50.99682
18.77358,54.08838
19.49150,54.28848
-9.17412,38.62267
6.93073,52.61237
17.74285,52.78583
9.36438,51.17480
20.29835,51.53568
18.61667,53.03333
8.00635,52.26115
20.47643,53.79698
8.96555,48.32642
18.51570,54.63990
8.58573,52.22307
10.83820,48.77940
9.86700,53.40367
14.44520,50.00740
18.66603,50.26558
20.74363,52.33612
-123.28922,44.59197
18.60022,54.38880
18.77358,54.08838
18.60417,53.01017
16.40952,50.74862
12.40102,51.32057
24.73238,59.41903
12.38995,51.31750
21.04853,52.14488
20.04237,50.06163
20.04237,50.06163
18.07993,51.76111
12.39343,51.37368
6.49473,51.83493
7.20637,50.64477
7.01522,51.41177
6.07010,49.53772
23.98660,55.35320
8.23182,50.10112
13.48733,52.51447
7.32783,50.48387
22.23053,60.43490
19.25180,50.11367
18.68580,50.27492
10.04105,54.20137
21.69007,49.76973
18.91690,50.34745
12.35965,51.31558
7.59438,51.96375
6.22902,53.39893
21.00970,52.25018
16.23253,53.62383
24.68367,59.39038
8.05977,50.82330
18.78110,50.30418
8.85960,48.29555
21.01600,52.31623
17.48308,49.01630
14.76352,48.03383
8.31795,49.63295
140.08738,35.62030
6.81965,51.42635
16.51562,49.30310
21.96527,52.88048
10.70593,48.39342
18.66603,50.26558
14.86482,53.49128
14.85900,53.52070
16.13050,49.98762
10.95753,49.47525
17.12070,46.55467
18.73940,50.51502
18.81475,50.48725
18.81475,50.48725
10.17748,53.66292
20.12995,50.53312
13.98917,49.68472
21.08010,52.26447
21.04050,52.20005
9.30192,49.13645
9.02962,47.79023
12.09017,50.43025
16.45815,50.66120
15.82390,49.89677
11.53367,48.12250
15.22133,48.19668
9.67252,48.75562
16.61877,50.67377
18.69057,54.34005
14.56043,45.88460
10.00793,49.69928
19.01675,49.78072
26.60263,58.46422
18.18725,48.83275
15.89512,50.80778
8.74553,49.91477
16.55427,49.24242
20.86978,52.36323
21.00230,52.26005
6.14642,49.57865
19.89843,50.02968
16.02875,51.03777
16.61850,49.21450
5.12932,51.32382
20.94583,52.35282
20.96217,52.34932
9.18145,49.23158
18.80457,50.42802
6.87730,51.73000
15.24203,52.73557
10.12305,50.82053
14.44788,53.54198
14.08655,40.78168
18.48502,53.96962
24.01885,35.51815
24.01885,35.51815
13.42578,52.50933
11.88380,53.96428
14.35802,48.11935
14.30858,52.76930
10.06420,56.17762
10.09525,56.18928
12.96472,57.73628
13.40467,52.51872
17.08647,51.12592
21.58095,53.68712
21.51118,53.88387
21.51118,53.88387
-73.97573,40.77592
21.06632,52.11202
19.10672,51.45213
116.45258,39.93192
116.45258,39.93192
8.25442,50.04913
-2.52308,56.59430
24.67935,59.43535
21.00970,52.25018
14.89217,53.50062
19.43882,50.71295
19.90438,50.06112
8.04163,50.84008
19.99807,50.09115
14.66188,50.31855
7.30000,43.70145
21.21365,48.99820
116.28667,39.98478
15.83383,50.15418
20.95730,52.29458
10.91400,49.66425
21.11118,52.63828
8.36745,49.19738
22.45828,49.16158
20.88353,50.89958
10.94212,49.48792
18.85855,49.66080
12.33722,55.92310
-9.41383,38.93700
6.58650,51.09167
-122.40157,37.78663
12.87993,47.72867
25.03600,35.39133
-80.24818,26.31017
-81.19220,28.65620
20.98918,52.20285
8.99438,49.90110
17.14750,51.10676
9.94645,50.49967
19.45620,51.75982
8.76772,48.51215
21.02087,52.23183
8.77228,50.80773
22.67005,58.37325
3.18008,39.75480
16.61398,50.62432
17.90812,54.52390
19.34852,49.85567
19.18292,49.52607
10.13655,50.51513
9.45008,49.19175
9.45008,49.19175
19.00170,50.78163
7.21705,52.45257
21.42518,51.85387
18.89340,50.56007
20.62208,50.74973
23.11582,53.26517
20.99692,52.21083
21.01042,52.20152
18.10615,59.34853
20.28600,50.65383
10.87338,50.86017
18.58070,54.38362
18.58070,54.38362
10.03853,63.75090
10.04360,63.73763
18.96458,50.30745
13.18435,50.38780
18.51408,54.41430
8.77777,52.00000
16.24778,50.84857
19.52047,50.43947
17.56492,53.70747
9.00105,47.45700
19.37755,50.33120
-81.32430,28.64325
13.79365,51.00700
19.93105,50.04980
19.45870,54.39097
